wavenumber,intensity,j,branch,pressure,temperature,fwhm,gamma,sigma,mean_wv,std_wv,skew_wv,kurtosis_wv,max_wv,min_wv,median_wv,mean_int,std_int,skew_int,kurtosis_int,max_int,min_int,median_int
5683.56703,0.87873,0,R37,145,293,0.0681687379270773,0.0331052135314035,0.0047385903575476,5683.566084954128,0.029764825861495238,4.709846158325868e-06,-1.199995885043004,5683.61693,5683.51524,5683.56608,0.5676323853211008,0.20498365824611792,0.10548688053979166,-1.4237952634560018,0.87873,0.26557,0.54945
5701.98259,1.23987,1,R37,145,293,0.0775253171417469,0.0376935111314091,0.005280218389887,5701.981647920001,0.034113925292480064,-5.194554091500599e-06,-1.1999969771593175,5702.04003,5701.92327,5701.98165,0.8058991200000001,0.29098776432821966,0.08499288716894508,-1.4315703746762345,1.23987,0.37273,0.78453
5719.16744,1.36729,2,R37,145,293,0.0809228982681386,0.0396008727752861,0.0048387465593928,5719.166022692308,0.035473192952946486,1.0068830321932186e-05,-1.200007249391833,5719.22676,5719.10529,5719.16602,0.8935746923076923,0.31979268373562714,0.06519543707757774,-1.431605429685906,1.36729,0.41227,0.874895
5735.10744,1.37998,3,R37,145,293,0.0791750819090968,0.0384951302163469,0.0053938488201215,5735.106026269842,0.03438584394154928,2.2663444736234513e-05,-1.199988567370716,5735.16488,5735.04717,5735.10603,0.9033253174603173,0.32082234516114744,0.06748109753608722,-1.4283742106430273,1.37998,0.41933,0.88384
5749.7913,1.32506,4,R37,145,293,0.0696964411809086,0.0340726365754795,0.0042632369467188,5749.790829732143,0.030580210861381314,6.783143415898329e-06,-1.1999993375925364,5749.84309,5749.73857,5749.79083,0.8638535714285714,0.30928481869535446,0.07558172537095285,-1.4414336509451335,1.32506,0.40452,0.846285
5763.2096,1.18925,5,R37,145,293,0.0582652414752739,0.0282108087923445,0.0042511431565517,5763.208663010753,0.025415476788719117,1.4874639162418574e-05,-1.200002052195916,5763.25198,5763.16535,5763.20866,0.7803732258064515,0.27729147174502955,0.05139089435839902,-1.439457465830067,1.18925,0.36461,0.77103
5775.34917,0.99601,6,R37,145,293,0.047122367922079,0.0229873927077451,0.0030154117287453,5775.348697236844,0.020794349014290246,7.304117360134746e-05,-1.2000104200038577,5775.38401,5775.31339,5775.3487000000005,0.6494152631578949,0.23348373617862514,0.07576258910700116,-1.4362462366669633,0.99601,0.30031,0.634415
5786.20246,0.72877,7,R37,145,293,0.0392151542906114,0.0190490902260785,0.0027143138102685,5786.202457142859,0.017260366630534714,-1.4817175611525514e-05,-1.2000212265003922,5786.23165,5786.17327,5786.20246,0.4763920634920636,0.17113081232296679,0.07186269362415452,-1.448566310703435,0.72877,0.22097,0.46252
5795.75723,0.4658,8,R37,145,293,0.0340234261068262,0.0159691627037762,0.0034586317763622,5795.755818888891,0.014813642700626337,9.202176553832572e-05,-1.2000650918964042,5795.78077,5795.73087,5795.75582,0.30339259259259266,0.11062823489243508,0.07803102004041698,-1.4723971422344024,0.4658,0.1416,0.296415
5804.00407,0.25158,9,R37,145,293,0.1305358664988465,0.0602530986149559,0.0148666102800361,5804.003132156862,0.01399853639689837,-0.00010241153499849778,-1.200032703094816,5804.02667,5803.97959,5804.00313,0.16261352941176468,0.0601846557462458,0.10486466353226982,-1.4865855707601257,0.25158,0.07779,0.15808
5687.6509,1.59091,0,R35,145,293,0.089231254060405,0.0430271174594246,0.006907157215769,5687.6490159440555,0.03900697987805268,-8.271534280275862e-06,-1.1999890656366006,5687.71587,5687.58216,5687.64902,1.04549,0.37395704778588196,0.045564571805422505,-1.4493662856441654,1.59091,0.48263,1.03005
5706.09189,1.78872,1,R35,145,293,0.117716363627346,0.0508369460490466,0.017894255670589,5706.090473870969,0.05069550544676995,3.5162647820328133e-06,-1.1999937482965866,5706.17758,5706.00337,5706.09047,1.1992897849462365,0.4305590086788896,-0.027859084018118315,-1.4888929097962238,1.78872,0.53765,1.193465
5723.29745,1.82176,2,R35,145,293,0.1313865183842738,0.0557598389959398,0.021049331361991,5723.297918592234,0.05613202571340187,-3.6583327053428355e-06,-1.200004323806849,5723.39444,5723.2014,5723.29792,1.2324683980582525,0.4402510812882463,-0.051732787616089265,-1.4997710171267657,1.82176,0.54821,1.231815
5753.9618,1.81197,4,R35,145,293,0.1100499826597001,0.0464170354774285,0.0179366813510055,5753.96039116279,0.04688997353935625,-4.262383018867409e-06,-1.1999976637722507,5754.0409,5753.87988,5753.96039,1.2264956395348836,0.4368419985795556,-0.05542026778976168,-1.5007887989045319,1.81197,0.54932,1.227095
5767.39423,1.76706,5,R35,145,293,0.0875073381657996,0.0375439579572935,0.0135775959219985,5767.393290583942,0.03737599376540271,6.3978340414262356e-06,-1.1999919721307533,5767.45732,5767.32926,5767.39329,1.1919847445255471,0.42379577281689707,-0.04306186215444123,-1.4871986335015293,1.76706,0.53472,1.1944
