id,j,branch,wavenumber,intensity,pressure,temperature,model,npoints,rms,amplitude,amplitude_std,center,center_std,sigma,sigma_std,gamma,gamma_std,fwhm,fwhm_std,height,height_std
1,0,R37,5683.56703,0.87873,145.0,293.0,Voigt,213,0.008675917123583,0.0923823391337107,0.0001843768824081,5683.566426508668,6.40082946069119e-05,0.0047385903575476,0.0002907255063545,0.0331052135314035,9.615827519944958e-05,0.0681687379270773,0.0001869693848205,0.8710842093272079,0.0016359058385222
2,1,R37,5701.98259,1.23987,145.0,293.0,Voigt,243,0.0115393379388633,0.1495674285464429,0.0002614367101386,5701.98211425079,6.376819814460256e-05,0.005280218389887,0.0003009446770478,0.0376935111314091,9.579749160547964e-05,0.0775253171417469,0.0001864738223409,1.2395976495304746,0.0020399686195742
3,2,R37,5719.16744,1.36729,145.0,293.0,Voigt,251,0.0093004147185533,0.1730225193472296,0.0002157555246533,5719.167043896605,4.753175349970053e-05,0.0048387465593928,0.0002563317422642,0.0396008727752861,7.141312038618842e-05,0.0809228982681386,0.0001398617438981,1.3708498946809904,0.0016142439985199
4,3,R37,5735.10744,1.37998,145.0,293.0,Voigt,248,0.011385553140454,0.1699620651943464,0.0002606543599245,5735.10707346222,5.714016059361985e-05,0.0053938488201215,0.0002700246110104,0.0384951302163469,8.583995431817174e-05,0.0791750819090968,0.0001670889742494,1.3792806823286403,0.0019915330679978
5,4,R37,5749.7913,1.32506,145.0,293.0,Voigt,217,0.0099088063105436,0.1440282725537248,0.0002131611366165,5749.7914250228005,4.851207630365464e-05,0.0042632369467188,0.0002362414508125,0.0340726365754795,7.285310714959753e-05,0.0696964411809086,0.0001425450544295,1.3253805923185116,0.0018486472346525
6,5,R37,5763.2096,1.18925,145.0,293.0,Voigt,178,0.0081192123289842,0.1079303996282925,0.0001602267635253,5763.209381200544,4.0520047637732245e-05,0.0042511431565517,0.000177443020636,0.0282108087923445,6.110572500258509e-05,0.0582652414752739,0.0001184807656944,1.1918511070895494,0.0016570978067027
7,6,R37,5775.34917,0.99601,145.0,293.0,Voigt,143,0.0060918411176854,0.0732479235954749,0.0001085825356366,5775.349384305504,3.273997681915365e-05,0.0030154117287453,0.0001580007945517,0.0229873927077451,4.936926999336868e-05,0.047122367922079,9.639994518556276e-05,0.9976536014449822,0.0013888220836233
8,7,R37,5786.20246,0.72877,145.0,293.0,Voigt,122,0.0048481352093911,0.0445696239194778,7.855242558061417e-05,5786.202503143652,3.24608020620358e-05,0.0027143138102685,0.0001438343382191,0.0190490902260785,4.878376345532686e-05,0.0392151542906114,9.487709477066592e-05,0.7304750770576798,0.001209495288726
9,8,R37,5795.75723,0.4658,145.0,293.0,Voigt,110,0.0058100367568938,0.0242843808310895,8.683145915212522e-05,5795.756621691178,5.693660293335746e-05,0.0034586317763622,0.0001821556705683,0.0159691627037762,8.555815295551723e-05,0.0340234261068262,0.0001613201618533,0.4639714329364608,0.0015391500340396
10,9,R37,5804.00407,0.25158,145.0,293.0,Voigt,1900,0.0236236709934401,0.3735282881833796,0.000649424463919,5803.853206677124,0.0001104755307742,0.0148666102800361,0.0003203110763978,0.0602530986149559,0.0001584641643799,0.1305358664988465,0.0002945538123324,1.8703211667416897,0.0031033706186762
11,0,R35,5687.6509,1.59091,145.0,293.0,Voigt,275,0.0140734878697702,0.2217049073245671,0.0003421072207652,5687.650054123939,6.44988548302303e-05,0.006907157215769,0.0002714767599487,0.0430271174594246,9.723718912677768e-05,0.089231254060405,0.000187823404822,1.6007906396423732,0.0023104659444863
12,1,R35,5706.09189,1.78872,145.0,293.0,Voigt,344,0.018148823469616,0.320758443938661,0.000498899939775,5706.091658582473,8.262290793301235e-05,0.017894255670589,0.0001844441276264,0.0508369460490466,0.0001272815781764,0.117716363627346,0.0002245680116096,1.8196199163249165,0.0025005750952495
13,2,R35,5723.29745,1.82176,145.0,293.0,Voigt,386,0.0230174713759288,0.3643520246109893,0.0006659396507106,5723.299251352107,0.000107978588708,0.021049331361991,0.0002291263804491,0.0557598389959398,0.0001666058804811,0.1313865183842738,0.0002902848949767,1.862063539464741,0.0029895926755814
15,4,R35,5753.9618,1.81197,145.0,293.0,Voigt,322,0.0208232699797611,0.3025829300744738,0.00055114070992,5753.961490351072,8.989885650355535e-05,0.0179366813510055,0.0001887279181309,0.0464170354774285,0.0001388820234018,0.1100499826597001,0.0002409315605048,1.849768415543063,0.0029499979726635
16,5,R35,5767.39423,1.76706,145.0,293.0,Voigt,259,0.0182502942735237,0.2352622203258252,0.0004317084699614,5767.393936491732,7.246821839294766e-05,0.0135775959219985,0.0001587907565029,0.0375439579572935,0.0001114982279331,0.0875073381657996,0.0001957851700637,1.799064762918589,0.002913987471271
17,6,R35,5779.54604,1.67379,145.0,293.0,Voigt,192,0.0128796159876201,0.1673582351269783,0.0002666552034201,5779.54553047559,4.75372748156097e-05,0.0089241492363374,0.0001173496401674,0.0291874955414541,7.293509136880782e-05,0.0655541417291103,0.0001316810050018,1.6883131465147965,0.002407356791916
18,7,R35,5790.4078,1.44962,145.0,293.0,Voigt,145,0.0091819888473926,0.1079693203728085,0.0001644989010552,5790.40723005094,3.4059043494943406e-05,0.005821716169827,9.443506622640863e-05,0.0222400970510658,5.191810802670343e-05,0.0486080562526558,9.580255289810588e-05,1.4560050527835344,0.0020147793932481
19,8,R35,5799.96728,1.08132,145.0,293.0,Voigt,115,0.0085952370236634,0.0630982026384452,0.0001364235976477,5799.967069158853,3.7891082144421656e-05,0.003702595717719,0.0001253999584697,0.0177803984549225,5.737466356009347e-05,0.0377170752345886,0.0001085940112261,1.0859157126462673,0.0021667048378386
20,9,R35,5808.21695,0.64838,145.0,293.0,Voigt,99,0.0061194210421422,0.0322751402704519,8.974555384107416e-05,5808.2172889561625,4.1602122537172106e-05,0.0028528033971266,0.0001486583575954,0.0152520143065011,6.278068298497949e-05,0.0320133114926197,0.000119946520527,0.6521394775200876,0.0016870364634451
21,10,R35,5815.14739,0.32886,145.0,293.0,Voigt,110,0.0073054894083521,0.0149770206574502,0.0001007968880507,5815.146880886344,9.564614350943044e-05,0.0042616358885489,0.000223284679697,0.0135018851257932,0.000142897286115,0.0305189003845039,0.0002567247189295,0.3252022797187321,0.0019953707940497
22,3,R35,5739.26099,1.82277,145.0,293.0,Voigt,368,0.0228957620227719,0.3515843011803911,0.0006512273641439,5739.259657214308,0.0001052973259335,0.0209928513412063,0.0002189115095769,0.0533349492673406,0.0001630227128481,0.1270849385528788,0.0002818298112511,1.8641208780949297,0.003014225586554
23,1,P37,5643.08047,0.80209,145.0,293.0,Voigt,222,0.0083485690134204,0.085458535531542,0.0001785410293608,5643.079559007212,6.85505138151537e-05,0.0052631189213452,0.0002860599150839,0.0336443253067924,0.0001027621357704,0.0696520982770514,0.0001988131784197,0.7900395907653458,0.0015524007829808
24,2,P37,5621.03773,1.07925,145.0,293.0,Voigt,241,0.0102251443830073,0.129057982679889,0.0002303729956373,5621.037582647541,6.446494107609993e-05,0.0048605327354451,0.00027959603738,0.0375742567575616,9.67381728071463e-05,0.0769739379715125,0.0001890108829782,1.0758676861824277,0.0018042589885713
25,3,P37,5597.81135,1.1314,145.0,293.0,Voigt,250,0.0115182632771066,0.1395996785965106,0.0002643152602205,5597.810848857335,7.097457423989128e-05,0.0056020001647842,0.0003230863373552,0.0386704534237247,0.000106618346071,0.0796822811644969,0.0002071767757883,1.1263572027560431,0.0020061258630921
26,4,P37,5573.41546,1.08695,145.0,293.0,Voigt,234,0.0090971945761606,0.1264087724193619,0.000202817224043,5573.414482190947,5.6612453227513495e-05,0.0046288894126063,0.0002928620602885,0.0365840101686423,8.499783722126448e-05,0.0748702498553319,0.0001662300567271,1.083033265008446,0.0016408945660722
28,6,P37,5521.16977,0.81369,145.0,293.0,Voigt,180,0.012026612294474,0.0698468203573462,0.0002313962180253,5521.168994559506,8.775370193823193e-05,0.0054803244967716,0.0002940812737398,0.0267518156598408,0.0001320578754582,0.0566492227754398,0.0002503308333742,0.7998727157473935,0.0024602052596985
29,7,P37,5493.34821,0.59729,145.0,293.0,Voigt,149,0.0103964207902387,0.0414156001272689,0.0001793567782068,5493.348147991663,9.256901804929836e-05,0.0048506085206947,0.0002787251085471,0.0213768890668181,0.00013923218055,0.0457992941762353,0.0002612628289888,0.5889009980602842,0.002356447764629
30,1,P35,5647.10408,1.52196,145.0,293.0,Voigt,275,0.0144865164667389,0.20950719161464,0.0003497954900199,5647.103423607244,6.913842423987594e-05,0.0062544798097092,0.0003164424525261,0.0427426235746961,0.0001039805557002,0.0881240999017107,0.0002019420403759,1.5287648234288396,0.0023981752851425
31,2,P35,5625.02838,1.7249,145.0,293.0,Voigt,325,0.0167028872856352,0.2902186437561525,0.0004461888012025,5625.027156389891,7.710102615991215e-05,0.01374097187836,0.0002052661755939,0.0496310073207365,0.0001178116379614,0.1094670638721239,0.0002157832366418,1.743015093973872,0.0024206539968158
32,3,P35,5601.7634,1.7503,145.0,293.0,Voigt,346,0.0183994854770352,0.3110858460151765,0.0005037509355827,5601.763545393583,8.572111312926693e-05,0.0156209076944497,0.0002130648544626,0.0517547471385164,0.0001311300205669,0.115947808587925,0.0002372138320242,1.7728508215282193,0.0025774570009934
33,4,P35,5577.32702,1.72742,145.0,293.0,Voigt,321,0.0176987003214374,0.2847338178668697,0.0004676438532081,5577.328029206465,8.076435644718834e-05,0.0133256263989625,0.0002147041652092,0.0486688485895008,0.0001232467284945,0.1071444231049275,0.0002260799652659,1.7460832325538338,0.0025956891879539
34,5,P35,5551.73525,1.65909,145.0,293.0,Voigt,271,0.0162028658772998,0.2283673949667506,0.0003912945515174,5551.734748154612,7.052711719788574e-05,0.0093669841461085,0.0002206063618411,0.0414900985905952,0.0001069894004426,0.0888356242440611,0.0002008686435858,1.6737664337479832,0.002633769979528
35,6,P35,5524.99751,1.52689,145.0,293.0,Voigt,218,0.0151755052119126,0.1650945817089444,0.0003248406348559,5524.99686710486,6.407545851019547e-05,0.005348471284128,0.000271033010162,0.0334494791939686,9.634954537473628e-05,0.0693500490497623,0.0001861551938982,1.5336402720163402,0.0028285911963304
36,7,P35,5497.12887,1.27878,145.0,293.0,Voigt,159,0.0109584020572533,0.1042964190360005,0.0002052486173349,5497.128724226317,4.818116847331366e-05,0.0038966881084476,0.0002032580651326,0.0253168607172617,7.272728065084878e-05,0.0523573406588788,0.0001408414578826,1.2822395995139595,0.002358271943561
37,8,P35,5468.14251,0.94391,145.0,293.0,Voigt,128,0.0105045171603613,0.0601405972611639,0.000174574329106,5468.1420970666,5.60810417966052e-05,0.0035304701487299,0.0002129950742893,0.0197732373287674,8.462273214779532e-05,0.0413371140684771,0.0001622625452207,0.939844155201292,0.0025404614589147
27,5,P37,5547.86419,0.97094,145.0,293.0,Voigt,228,0.0140540596515491,0.0991710411021913,0.0002908406043969,5547.8628998018185,9.240394913094496e-05,0.0060192089955704,0.0003256414482964,0.0317325730266977,0.0001377394746125,0.0666901835117346,0.0002628597783864,0.96229549695899,0.0026490101196656
1,0,R35,5687.6509,1.55898,78.0,293.0,Voigt,145,0.0102322466469954,0.1184120779932347,0.0001859144564134,5687.65022911523,3.5713768769645906e-05,0.0078161551710802,7.869451472032569e-05,0.0217383250039054,5.5214484073909934e-05,0.050595555302484,9.705370232869282e-05,1.5654085162698557,0.0021628681244492
2,1,R35,5706.09283,1.77746,78.0,293.0,Voigt,188,0.0180039829281599,0.1749071628278996,0.0003683056643818,5706.092715608721,6.138380478799783e-05,0.0119145025755249,0.0001178377353356,0.0266329204588463,9.563303593703568e-05,0.0659152378125468,0.0001611918071522,1.8089247609485417,0.0032759788728906
3,2,R35,5723.29933,1.81119,78.0,293.0,Voigt,204,0.0211567701120007,0.1956250126927045,0.000452766190019,5723.300645066513,7.363032959566879e-05,0.0143947806845852,0.0001305422359463,0.0281150790001467,0.0001156603362893,0.0728840889479785,0.000189454137626,1.855162191313094,0.0036326696158712
4,3,R35,5739.26099,1.81475,78.0,293.0,Voigt,202,0.0214177925843423,0.1922178148584576,0.0004525638431084,5739.261164901818,7.354404095286892e-05,0.0138306893555089,0.0001328705514537,0.0277710164537,0.00011509626353,0.0712728233751342,0.0001896627946818,1.858572205451939,0.0037189690868877
5,4,R35,5753.96275,1.79917,78.0,293.0,Voigt,173,0.0201969995505798,0.1644424943138344,0.0003986693702782,5753.962982353984,6.547015215121064e-05,0.0122607935726686,0.0001162862628685,0.0238625455450299,0.0001028748482626,0.0619407803584081,0.000168381526409,1.835664043876674,0.0037604164305197
6,5,R35,5767.39517,1.75437,78.0,293.0,Voigt,138,0.0150035222028473,0.1284548045168757,0.0002672773969022,5767.395366535954,4.5318611925323695e-05,0.0100915639483514,7.942389492261719e-05,0.0191449004114133,7.14507445270628e-05,0.0501727334262752,0.0001162955967668,1.7752017084555198,0.003106657451083
7,6,R35,5779.54698,1.62964,78.0,293.0,Voigt,105,0.0126641431097798,0.0917288794214008,0.0001997560695986,5779.5470830552895,3.655438322578316e-05,0.0076144056986715,6.521697376809846e-05,0.0149349062814253,5.7720519736279936e-05,0.0386565283840281,9.463422792698672e-05,1.6393681976645529,0.0030066372482414
8,7,R35,5790.40874,1.35745,78.0,293.0,Voigt,82,0.0124929418512921,0.0594791459673627,0.0001745186833633,5790.408436422237,3.832052881701603e-05,0.0058658780766582,6.889119626236121e-05,0.0116694952592251,6.045667993037128e-05,0.0300492179006111,9.942502779149292e-05,1.3654249236517677,0.0033782036040459
