iter	Passed	Remaining
0	5	5333
1	9	4514
2	12	4277
3	17	4412
4	22	4447
5	26	4440
6	34	4898
7	41	5150
8	51	5695
9	61	6067
10	73	6587
11	81	6716
12	88	6697
13	91	6443
14	94	6217
15	98	6059
16	102	5945
17	106	5819
18	109	5672
19	113	5545
20	117	5470
21	121	5408
22	124	5308
23	128	5221
24	132	5175
25	136	5115
26	140	5055
27	144	5023
28	148	4969
29	152	4930
30	156	4881
31	159	4826
32	163	4793
33	167	4764
34	171	4723
35	174	4670
36	177	4628
37	181	4593
38	185	4566
39	188	4533
40	192	4493
41	196	4477
42	200	4461
43	203	4432
44	207	4395
45	210	4366
46	214	4345
47	218	4335
48	221	4305
49	224	4274
50	228	4257
51	232	4235
52	236	4217
53	239	4203
54	244	4196
55	248	4185
56	252	4169
57	255	4145
58	258	4128
59	263	4126
60	267	4111
61	270	4089
62	273	4066
63	277	4056
64	281	4047
65	284	4031
66	288	4011
67	291	3992
68	295	3985
69	299	3980
70	302	3962
71	306	3944
72	310	3942
73	314	3933
74	317	3919
75	320	3901
76	324	3889
77	328	3885
78	332	3877
79	335	3861
80	338	3845
81	343	3849
82	348	3846
83	351	3837
84	355	3821
85	359	3818
86	363	3817
87	367	3809
88	370	3794
89	374	3783
90	377	3774
91	381	3769
92	385	3757
93	388	3744
94	392	3737
95	396	3731
96	399	3721
97	403	3709
98	406	3704
99	411	3704
100	415	3696
101	418	3684
102	421	3674
103	425	3666
104	428	3656
105	433	3652
106	437	3649
107	441	3645
108	445	3641
109	448	3631
110	451	3619
111	455	3613
112	459	3609
113	463	3604
114	466	3593
115	470	3585
116	474	3579
117	478	3576
118	481	3567
119	485	3558
120	488	3551
121	493	3548
122	496	3541
123	499	3531
124	504	3528
125	508	3527
126	512	3521
127	515	3511
128	518	3503
129	523	3504
130	527	3497
131	530	3488
132	533	3479
133	537	3474
134	541	3471
135	545	3466
136	548	3456
137	552	3450
138	556	3444
139	560	3441
140	563	3432
141	567	3426
142	570	3421
143	574	3417
144	578	3409
145	581	3401
146	585	3395
147	589	3391
148	593	3387
149	596	3378
150	599	3371
151	603	3366
152	607	3363
153	610	3355
154	613	3347
155	617	3342
156	621	3335
157	624	3328
158	628	3325
159	633	3327
160	637	3323
161	641	3319
162	644	3310
163	649	3309
164	653	3305
165	656	3299
166	660	3293
167	663	3286
168	667	3282
169	671	3278
170	674	3271
171	677	3263
172	682	3261
173	686	3257
174	690	3253
175	693	3247
176	697	3244
177	702	3243
178	705	3237
179	708	3229
180	712	3223
181	716	3220
182	720	3218
183	724	3211
184	727	3204
185	731	3199
186	734	3194
187	738	3190
188	742	3186
189	747	3184
190	751	3181
191	754	3176
192	757	3168
193	762	3166
194	766	3164
195	770	3159
196	773	3151
197	776	3146
198	780	3142
199	785	3140
200	788	3133
201	791	3126
202	795	3121
203	799	3118
204	802	3113
205	806	3106
206	809	3102
207	814	3101
208	818	3096
209	821	3090
210	824	3084
211	828	3079
212	831	3073
213	835	3068
214	839	3064
215	843	3063
216	848	3059
217	851	3054
218	854	3047
219	858	3042
220	861	3038
221	866	3035
222	869	3029
223	872	3022
224	876	3019
225	880	3015
226	882	3005
227	885	2999
228	888	2992
229	892	2988
230	896	2985
231	900	2980
232	903	2974
233	906	2968
234	910	2964
235	914	2960
236	917	2955
237	921	2949
238	925	2946
239	928	2940
240	932	2937
241	936	2932
242	940	2929
243	944	2926
244	947	2920
245	950	2914
246	954	2908
247	957	2904
248	962	2901
249	965	2896
250	968	2889
251	972	2885
252	976	2881
253	980	2878
254	983	2873
255	986	2867
256	990	2864
257	994	2860
258	998	2855
259	1001	2850
260	1005	2846
261	1009	2843
262	1013	2839
263	1016	2833
264	1019	2828
265	1023	2824
266	1027	2819
267	1030	2815
268	1035	2813
269	1039	2809
270	1043	2806
271	1047	2802
272	1050	2796
273	1054	2792
274	1058	2789
275	1061	2785
276	1064	2779
277	1068	2774
278	1072	2771
279	1076	2768
280	1079	2762
281	1082	2756
282	1086	2753
283	1090	2750
284	1094	2745
285	1097	2739
286	1101	2735
287	1102	2725
288	1106	2722
289	1109	2717
290	1113	2711
291	1116	2706
292	1120	2702
293	1123	2697
294	1127	2693
295	1131	2690
296	1135	2687
297	1139	2684
298	1142	2679
299	1146	2674
300	1149	2670
301	1154	2667
302	1158	2664
303	1161	2659
304	1165	2655
305	1168	2650
306	1172	2646
307	1175	2641
308	1179	2636
309	1183	2633
310	1187	2630
311	1190	2625
312	1194	2620
313	1197	2616
314	1201	2613
315	1205	2610
316	1209	2605
317	1212	2600
318	1216	2596
319	1219	2591
320	1222	2586
321	1226	2582
322	1230	2579
323	1234	2575
324	1237	2570
325	1240	2565
326	1244	2560
327	1249	2559
328	1252	2555
329	1256	2550
330	1259	2545
331	1264	2543
332	1268	2540
333	1271	2535
334	1274	2529
335	1277	2524
336	1283	2524
337	1286	2519
338	1289	2513
339	1292	2508
340	1297	2507
341	1301	2503
342	1304	2498
343	1307	2494
344	1311	2490
345	1316	2487
346	1319	2482
347	1323	2479
348	1327	2476
349	1331	2473
350	1335	2468
351	1338	2463
352	1341	2458
353	1347	2458
354	1350	2454
355	1353	2449
356	1357	2444
357	1362	2442
358	1365	2438
359	1369	2433
360	1372	2428
361	1375	2424
362	1380	2422
363	1383	2418
364	1387	2413
365	1390	2408
366	1395	2406
367	1399	2403
368	1402	2398
369	1405	2393
370	1410	2391
371	1414	2387
372	1417	2382
373	1421	2378
374	1425	2375
375	1429	2372
376	1432	2367
377	1435	2362
378	1439	2358
379	1444	2357
380	1448	2353
381	1451	2348
382	1455	2344
383	1460	2342
384	1464	2338
385	1467	2333
386	1470	2328
387	1476	2328
388	1479	2324
