Material,Space Group,Z_media,Z_media_pon,Z_std,Z_std_pon,Z_minimo,Z_maximo,Electronegativity_media,Electronegativity_media_pon,Electronegativity_std,Electronegativity_std_pon,Electronegativity_minimo,Electronegativity_maximo,IonizationPotential_media,IonizationPotential_media_pon,IonizationPotential_std,IonizationPotential_std_pon,IonizationPotential_minimo,IonizationPotential_maximo,ElectronAffinity_media,ElectronAffinity_media_pon,ElectronAffinity_std,ElectronAffinity_std_pon,ElectronAffinity_minimo,ElectronAffinity_maximo,HOMO_media,HOMO_media_pon,HOMO_std,HOMO_std_pon,HOMO_minimo,HOMO_maximo,LUMO_media,LUMO_media_pon,LUMO_std,LUMO_std_pon,LUMO_minimo,LUMO_maximo,r_s_orbital_media,r_s_orbital_media_pon,r_s_orbital_std,r_s_orbital_std_pon,r_s_orbital_minimo,r_s_orbital_maximo,r_p_orbital_media,r_p_orbital_media_pon,r_p_orbital_std,r_p_orbital_std_pon,r_p_orbital_minimo,r_p_orbital_maximo,r_d_orbital_media,r_d_orbital_media_pon,r_d_orbital_std,r_d_orbital_std_pon,r_d_orbital_minimo,r_d_orbital_maximo,r_atomic_nonbonded_media,r_atomic_nonbonded_media_pon,r_atomic_nonbonded_std,r_atomic_nonbonded_std_pon,r_atomic_nonbonded_minimo,r_atomic_nonbonded_maximo,r_valence_lastorbital_media,r_valence_lastorbital_media_pon,r_valence_lastorbital_std,r_valence_lastorbital_std_pon,r_valence_lastorbital_minimo,r_valence_lastorbital_maximo,r_covalent_media,r_covalent_media_pon,r_covalent_std,r_covalent_std_pon,r_covalent_minimo,r_covalent_maximo,Valence_media,Valence_media_pon,Valence_std,Valence_std_pon,Valence_minimo,Valence_maximo,PeriodicColumn_media,PeriodicColumn_media_pon,PeriodicColumn_std,PeriodicColumn_std_pon,PeriodicColumn_minimo,PeriodicColumn_maximo,PeriodicColumn_upto18_media,PeriodicColumn_upto18_media_pon,PeriodicColumn_upto18_std,PeriodicColumn_upto18_std_pon,PeriodicColumn_upto18_minimo,PeriodicColumn_upto18_maximo,NumberUnfilledOrbitals_media,NumberUnfilledOrbitals_media_pon,NumberUnfilledOrbitals_std,NumberUnfilledOrbitals_std_pon,NumberUnfilledOrbitals_minimo,NumberUnfilledOrbitals_maximo,Polarizability_media,Polarizability_media_pon,Polarizability_std,Polarizability_std_pon,Polarizability_minimo,Polarizability_maximo,target
AgBr2,P-4m2,41.0,39.0,6.0,2.0,35.0,47.0,2.445,2.6166666666666667,0.515,-0.17166666666666675,1.93,2.96,-10.1613,-10.942333333333332,2.3431,0.7810333333333319,-12.5044,-7.8182,-2.3935500000000003,-2.7673666666666663,1.12145,0.37381666666666624,-3.515,-1.2721,-6.13035,-6.7063999999999995,1.7281500000000003,0.5760499999999995,-7.8585,-4.4022,3.1925,3.9347666666666665,2.2268,-0.7422666666666666,0.9657,5.4193,1.03775,0.9423,0.28635000000000005,0.09544999999999998,0.7514,1.3241,1.1507,1.0616,0.2673,0.08909999999999985,0.8834,1.418,0.38835,0.3349333333333333,0.16024999999999998,0.05341666666666668,0.2281,0.5486,1.335,1.2699999999999998,0.19500000000000006,0.06500000000000017,1.14,1.53,1.10375,1.0303,0.22035000000000005,0.07345000000000002,0.8834,1.3241,1.325,1.2833333333333332,0.125,0.04166666666666674,1.2,1.45,14.0,15.0,3.0,-1.0,11.0,17.0,4.0,5.0,3.0,-1.0,1.0,7.0,14.0,15.0,3.0,-1.0,11.0,17.0,1.0,1.0,0.0,0.0,1.0,1.0,37.15,32.03333333333333,15.35,5.116666666666669,21.8,52.5,1
AgLi2,P-6m2,25.0,17.666666666666668,22.0,7.333333333333332,3.0,47.0,1.455,1.2966666666666666,0.475,0.15833333333333333,0.98,1.93,-6.5893999999999995,-6.1798,1.2288000000000001,-0.40959999999999974,-7.8182,-5.3606,-0.9292,-0.8149000000000001,0.3429,-0.11429999999999996,-1.2721,-0.5863,-3.6383,-3.3836666666666666,0.7638999999999998,-0.25463333333333327,-4.4022,-2.8744,0.02915000000000001,-0.2830333333333333,0.93655,0.31218333333333326,-0.9074,0.9657,1.49095,1.5465666666666664,0.16684999999999994,-0.055616666666666426,1.3241,1.6578,1.6526999999999998,1.7309333333333334,0.23470000000000005,-0.07823333333333349,1.418,1.8874,1.31775,1.5741333333333334,0.76915,-0.2563833333333334,0.5486,2.0869,1.435,1.4033333333333333,0.09499999999999997,0.03166666666666673,1.34,1.53,1.49095,1.5465666666666664,0.16684999999999994,-0.055616666666666426,1.3241,1.6578,1.365,1.3366666666666667,0.08499999999999996,0.02833333333333332,1.28,1.45,6.0,4.333333333333333,5.0,1.666666666666667,1.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,4.333333333333333,5.0,1.666666666666667,1.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,108.25,126.83333333333333,55.75,-18.58333333333333,52.5,164.0,1
AlI2,P-6m2,33.0,39.666666666666664,20.0,-6.666666666666664,13.0,53.0,2.1350000000000002,2.31,0.525,-0.17499999999999993,1.61,2.66,-8.4046,-9.300266666666667,2.687,0.8956666666666675,-11.0916,-5.7176,-1.64055,-2.199533333333333,1.67695,0.5589833333333332,-3.3175,0.0364,-4.89795,-5.6266,2.18595,0.7286499999999998,-7.0839,-2.712,3.67185,3.856833333333333,0.55495,-0.18498333333333306,3.1169,4.2268,1.00335,0.9697,0.10095000000000004,0.03365000000000001,0.9024,1.1043,1.2357,1.1821,0.16080000000000005,0.05360000000000009,1.0749,1.3965,1.061,0.8446333333333333,0.6491,0.21636666666666662,0.4119,1.7101,1.255,1.28,0.07500000000000007,-0.025000000000000022,1.18,1.33,1.2357,1.1821,0.16080000000000005,0.05360000000000009,1.0749,1.3965,1.2999999999999998,1.3299999999999998,0.08999999999999998,-0.029999999999999916,1.21,1.39,10.0,12.333333333333334,7.0,-2.333333333333334,3.0,17.0,5.0,5.666666666666667,2.0,-0.666666666666667,3.0,7.0,15.0,15.666666666666666,2.0,-0.6666666666666661,13.0,17.0,3.0,2.3333333333333335,2.0,0.6666666666666665,1.0,5.0,45.0,41.53333333333333,10.399999999999999,3.4666666666666686,34.6,55.4,1
AsCl2,P-6m2,25.0,22.333333333333332,8.0,2.666666666666668,17.0,33.0,2.67,2.8333333333333335,0.49,-0.16333333333333333,2.18,3.16,-11.462150000000001,-12.250399999999999,2.36475,0.7882499999999988,-13.8269,-9.0974,-2.64445,-2.991766666666667,1.04195,0.34731666666666694,-3.6864,-1.6025,-6.89555,-7.4619333333333335,1.69915,0.5663833333333339,-8.5947,-5.1964,4.5609,4.6819999999999995,0.36329999999999973,-0.12109999999999932,4.1976,4.9242,0.76715,0.7376,0.08865,0.029549999999999965,0.6785,0.8558,0.9037,0.8546999999999999,0.14699999999999996,0.0490000000000001,0.7567,1.0507,0.80065,0.9834,0.54825,-0.18275000000000008,0.2524,1.3489,1.0899999999999999,1.0566666666666666,0.09999999999999998,0.033333333333333326,0.99,1.19,0.9037,0.8546999999999999,0.14699999999999996,0.0490000000000001,0.7567,1.0507,1.105,1.0766666666666667,0.08499999999999996,0.02833333333333332,1.02,1.19,11.0,9.666666666666666,4.0,1.333333333333334,7.0,15.0,6.0,6.333333333333333,1.0,-0.33333333333333304,5.0,7.0,16.0,16.333333333333332,1.0,-0.33333333333333215,15.0,17.0,2.0,1.6666666666666667,1.0,0.33333333333333326,1.0,3.0,22.185000000000002,19.646666666666665,7.615,2.5383333333333358,14.57,29.8,1
AsS2,P-3m1,24.5,21.666666666666668,8.5,2.833333333333332,16.0,33.0,2.38,2.4466666666666668,0.19999999999999996,-0.06666666666666665,2.18,2.58,-10.411100000000001,-10.848999999999998,1.3136999999999999,0.4378999999999982,-11.7248,-9.0974,-2.1007,-2.266766666666667,0.4982,0.1660666666666668,-2.5989,-1.6025,-6.102399999999999,-6.4044,0.9060000000000001,0.30200000000000005,-7.0084,-5.1964,4.41855,4.4922,0.22094999999999976,-0.07365000000000022,4.1976,4.6395,0.80155,0.7834666666666666,0.05425000000000002,0.01808333333333334,0.7473,0.8558,0.95,0.9164333333333333,0.10069999999999996,0.03356666666666669,0.8493,1.0507,0.8229,1.0130666666666668,0.5705,-0.19016666666666682,0.2524,1.3934,1.105,1.0766666666666667,0.08499999999999996,0.02833333333333332,1.02,1.19,0.95,0.9164333333333333,0.10069999999999996,0.03356666666666669,0.8493,1.0507,1.12,1.0966666666666667,0.06999999999999995,0.023333333333333317,1.05,1.19,10.5,9.0,4.5,1.5,6.0,15.0,5.5,5.666666666666667,0.5,-0.16666666666666696,5.0,6.0,15.5,15.666666666666666,0.5,-0.16666666666666607,15.0,16.0,2.5,2.3333333333333335,0.5,0.16666666666666652,2.0,3.0,24.585,22.846666666666668,5.215,1.7383333333333333,19.37,29.8,1
AsTe2,P-3m1,42.5,45.666666666666664,9.5,-3.1666666666666643,33.0,52.0,2.14,2.126666666666667,0.040000000000000036,0.013333333333333197,2.1,2.18,-9.3967,-9.496466666666667,0.2992999999999997,0.09976666666666656,-9.696,-9.0974,-2.02485,-2.1656333333333335,0.42235,0.14078333333333348,-2.4472,-1.6025,-5.57405,-5.699933333333333,0.37765000000000004,0.12588333333333335,-5.9517,-5.1964,4.09285,4.057933333333334,0.10475000000000012,0.03491666666666671,3.9881,4.1976,0.9027499999999999,0.9184,0.04694999999999999,-0.015649999999999997,0.8558,0.9497,1.09995,1.1163666666666667,0.049250000000000016,-0.016416666666666746,1.0507,1.1492,0.34085,0.37033333333333335,0.08845,-0.029483333333333334,0.2524,0.4293,1.27,1.2966666666666666,0.08000000000000007,-0.026666666666666616,1.19,1.35,1.09995,1.1163666666666667,0.049250000000000016,-0.016416666666666746,1.0507,1.1492,1.285,1.3166666666666667,0.09499999999999997,-0.03166666666666673,1.19,1.38,15.5,15.666666666666666,0.5,-0.16666666666666607,15.0,16.0,5.5,5.666666666666667,0.5,-0.16666666666666696,5.0,6.0,15.5,15.666666666666666,0.5,-0.16666666666666607,15.0,16.0,2.5,2.3333333333333335,0.5,0.16666666666666652,2.0,3.0,33.4,34.6,3.5999999999999996,-1.200000000000001,29.8,37.0,1
AuS2,P-4m2,47.5,37.0,31.5,10.5,16.0,79.0,2.56,2.566666666666667,0.020000000000000018,-0.006666666666666821,2.54,2.58,-10.5545,-10.9446,1.1703000000000001,0.39009999999999945,-11.7248,-9.3842,-2.45655,-2.504,0.14234999999999998,0.04744999999999999,-2.5989,-2.3142,-6.38075,-6.589966666666666,0.62765,0.20921666666666638,-7.0084,-5.7531,2.67095,3.3271333333333337,1.96855,-0.6561833333333338,0.7024,4.6395,0.98735,0.9073333333333333,0.24005000000000004,0.08001666666666668,0.7473,1.2274,1.1431,1.0451666666666668,0.2938,0.09793333333333326,0.8493,1.4369,1.0185,1.1434666666666666,0.3749,-0.12496666666666667,0.6436,1.3934,1.23,1.16,0.20999999999999996,0.07000000000000006,1.02,1.44,1.03835,0.9753333333333334,0.18905,0.06301666666666667,0.8493,1.2274,1.205,1.1533333333333333,0.15500000000000003,0.05166666666666675,1.05,1.36,15.5,12.333333333333334,9.5,3.166666666666666,6.0,25.0,3.5,4.333333333333333,2.5,-0.833333333333333,1.0,6.0,13.5,14.333333333333334,2.5,-0.8333333333333339,11.0,16.0,1.5,1.6666666666666667,0.5,-0.16666666666666674,1.0,2.0,27.735,24.94666666666667,8.365,2.788333333333332,19.37,36.1,1
AuSe2,P-6m2,56.5,49.0,22.5,7.5,34.0,79.0,2.545,2.5466666666666664,0.004999999999999893,-0.0016666666666664831,2.54,2.55,-10.08905,-10.324,0.7048500000000004,0.23494999999999955,-10.7939,-9.3842,-2.4243,-2.4610000000000003,0.11010000000000009,0.03670000000000018,-2.5344,-2.3142,-6.1318,-6.258033333333334,0.37870000000000026,0.12623333333333342,-6.5105,-5.7531,2.72265,3.3960666666666666,2.02025,-0.6734166666666668,0.7024,4.7429,1.01355,0.9422666666666667,0.21385000000000004,0.07128333333333331,0.7997,1.2274,1.1973500000000001,1.1175,0.23955000000000004,0.07985000000000009,0.9578,1.4369,0.44165,0.37433333333333335,0.20195,0.06731666666666662,0.2397,0.6436,1.2999999999999998,1.2533333333333332,0.14,0.046666666666666745,1.16,1.44,1.0926,1.0476666666666665,0.13480000000000003,0.04493333333333349,0.9578,1.2274,1.28,1.2533333333333332,0.08000000000000007,0.02666666666666684,1.2,1.36,20.5,19.0,4.5,1.5,16.0,25.0,3.5,4.333333333333333,2.5,-0.833333333333333,1.0,6.0,13.5,14.333333333333334,2.5,-0.8333333333333339,11.0,16.0,1.5,1.6666666666666667,0.5,-0.16666666666666674,1.0,2.0,31.17,29.526666666666667,4.9300000000000015,1.6433333333333326,26.24,36.1,1
AuTe2,P-3m1,65.5,61.0,13.5,4.5,52.0,79.0,2.3200000000000003,2.2466666666666666,0.21999999999999997,0.07333333333333347,2.1,2.54,-9.540099999999999,-9.592066666666666,0.15589999999999993,0.05196666666666605,-9.696,-9.3842,-2.3807,-2.4028666666666667,0.0665,0.022166666666666668,-2.4472,-2.3142,-5.852399999999999,-5.8855,0.09929999999999994,0.03310000000000057,-5.9517,-5.7531,2.34525,2.892866666666667,1.6428500000000001,-0.5476166666666669,0.7024,3.9881,1.0885500000000001,1.0422666666666667,0.13885000000000003,0.04628333333333334,0.9497,1.2274,1.29305,1.2451,0.14385000000000003,0.04794999999999994,1.1492,1.4369,0.53645,0.5007333333333334,0.10714999999999997,0.03571666666666662,0.4293,0.6436,1.395,1.3800000000000001,0.04499999999999993,0.014999999999999902,1.35,1.44,1.1883,1.1752666666666667,0.039100000000000024,0.013033333333333341,1.1492,1.2274,1.37,1.3733333333333333,0.009999999999999898,-0.0033333333333332993,1.36,1.38,20.5,19.0,4.5,1.5,16.0,25.0,3.5,4.333333333333333,2.5,-0.833333333333333,1.0,6.0,13.5,14.333333333333334,2.5,-0.8333333333333339,11.0,16.0,1.5,1.6666666666666667,0.5,-0.16666666666666674,1.0,2.0,36.55,36.699999999999996,0.4499999999999993,-0.14999999999999503,36.1,37.0,1
BaBr2,P-3m1,45.5,42.0,10.5,3.5,35.0,56.0,1.925,2.27,1.0350000000000001,-0.345,0.89,2.96,-8.92595,-10.118766666666668,3.57845,1.1928166666666673,-12.5044,-5.3475,-1.2291,-1.9910666666666668,2.2859,0.7619666666666667,-3.515,1.0568,-5.5439,-6.315433333333334,2.3146,0.7715333333333338,-7.8585,-3.2293,1.7493499999999997,2.9726666666666666,3.66995,-1.2233166666666666,-1.9206,5.4193,1.4740499999999999,1.2331666666666665,0.72265,0.2408833333333334,0.7514,2.1967,1.6264,1.3787333333333336,0.7430000000000001,0.24766666666666648,0.8834,2.3694,0.7472,0.5741666666666666,0.5191,0.17303333333333337,0.2281,1.2663,1.56,1.42,0.42000000000000004,0.14,1.14,1.98,1.54005,1.3211666666666666,0.65665,0.21888333333333332,0.8834,2.1967,1.6749999999999998,1.5166666666666666,0.475,0.15833333333333333,1.2,2.15,9.5,12.0,7.5,-2.5,2.0,17.0,4.5,5.333333333333333,2.5,-0.833333333333333,2.0,7.0,9.5,12.0,7.5,-2.5,2.0,17.0,0.5,0.6666666666666666,0.5,-0.16666666666666663,0.0,1.0,147.25,105.43333333333334,125.45,41.816666666666656,21.8,272.7,0
