iter	RMSE
0	1.33093878
1	1.303399804
2	1.276969618
3	1.251876879
4	1.227107254
5	1.202950589
6	1.179248154
7	1.160795789
8	1.139272236
9	1.120464966
10	1.102994741
11	1.086809238
12	1.069672472
13	1.055923069
14	1.039555668
15	1.02616173
16	1.012384263
17	0.9990123183
18	0.9874694938
19	0.9750289722
20	0.9648669388
21	0.9527878721
22	0.9436211259
23	0.9338388669
24	0.9251139649
25	0.9168682736
26	0.9091235223
27	0.9014887831
28	0.8915748788
29	0.8849380998
30	0.8775618935
31	0.87049772
32	0.8636517827
33	0.8575199616
34	0.85031781
35	0.8444749781
36	0.8395439598
37	0.8342141038
38	0.8290264719
39	0.8237527188
40	0.8195992268
41	0.8164595596
42	0.8116994849
43	0.8080847088
44	0.8036637371
45	0.7995916897
46	0.7951160362
47	0.7906759793
48	0.7867994176
49	0.7827516765
50	0.778595367
51	0.7749989411
52	0.7725199956
53	0.7686441521
54	0.7658458437
55	0.7628779873
56	0.760206113
57	0.757193622
58	0.7543358159
59	0.7510966361
60	0.7486980063
61	0.7464251725
62	0.7438929956
63	0.7415248544
64	0.7388674031
65	0.7359088369
66	0.7341844691
67	0.732490641
68	0.7304783362
69	0.7283658292
70	0.7251582576
71	0.7233927587
72	0.7222801774
73	0.7205787988
74	0.717717366
75	0.7154567837
76	0.7137326376
77	0.7121744674
78	0.7104182443
79	0.7078506254
80	0.706326809
81	0.7043789488
82	0.7032451666
83	0.701746416
84	0.6998953624
85	0.697859825
86	0.6968177206
87	0.6948605558
88	0.6933722252
89	0.691919115
90	0.6899923879
91	0.6888713713
92	0.6877947555
93	0.6863629659
94	0.6847344133
95	0.6829980092
96	0.6810868579
97	0.6795124514
98	0.6788281525
99	0.6772590509
100	0.6762546561
101	0.6748233313
102	0.6740794123
103	0.6724239338
104	0.6706663386
105	0.6689567921
106	0.6672183941
107	0.6655735361
108	0.664611128
109	0.6634933891
110	0.6623746279
111	0.6618295327
112	0.6608152216
113	0.6593323264
114	0.6577769136
115	0.6563997407
116	0.6546202086
117	0.653419128
118	0.6520408167
119	0.6507781137
120	0.6496702109
121	0.6479276483
122	0.6461574359
123	0.644159938
124	0.6432654276
125	0.6420658077
126	0.6407308521
127	0.6397494946
128	0.6386442955
129	0.6378382156
130	0.6362803504
131	0.6350177565
132	0.6336917394
133	0.6330002149
134	0.6323036908
135	0.6315985642
136	0.6305657531
137	0.6294299378
138	0.6282107537
139	0.6273456653
