LinePosition(cm-1),Intensity
35596.8151,0.14
35591.6163,0.102
35587.8997,0.118
35559.161,0.671
35556.482,0.334
35553.7588,0.41
35548.9603,0.33
35543.6984,0.559
35538.4855,0.304
35536.0128,0.048
35533.6766,0.041
35530.4035,0.045
35528.8422,0.638
35525.5202,0.388
35521.8826,0.157
35508.6621,0.517
35503.8673,0.156
35500.5584,0.777
35495.3991,0.314
35493.7485,0.444
35483.5562,0.749
35480.7972,0.455
35470.0033,0.133
35467.0381,0.537
35463.2903,0.184
35461.0822,0.966
35458.5002,0.082
35454.4625,0.135
35452.5388,0.413
35444.1215,0.49
35441.757,0.796
35436.1524,0.136
35433.8671,0.33
35428.3388,0.502
35420.0326,1.031
35415.3922,0.702
35411.1454,0.166
35405.5597,0.072
35403.6679,0.23
35398.8063,0.482
35395.1781,1.083
35388.6272,0.437
35384.4124,0.295
35380.6478,0.777
35377.4359,0.806
35374.5083,0.607
35371.642,0.085
35366.6607,1.302
35361.4535,0.477
35340.2931,0.379
35337.8834,0.543
35334.1885,1.359
35326.6177,0.424
35323.8371,0.659
35320.8559,0.857
35302.1428,1.191
35297.3593,1.185
35293.7255,0.395
35277.1584,0.983
35273.1611,0.746
35267.3465,0.778
35256.1646,1.146
35246.3547,0.985
35241.1418,0.397
35236.3366,0.563
35234.265,0.058
35213.309,0.338
35210.1695,1.77
35207.4925,0.712
35192.4188,0.538
35182.1983,0.368
35172.6351,0.137
35168.0644,0.95
35159.9211,1.078
35147.4143,0.251
35143.9708,0.735
35141.9924,0.371
35120.7585,0.939
35117.2952,0.255
35104.6396,1.008
35087.1883,0.061
35085.7533,0.545
35076.6109,0.717
35068.1579,0.908
35046.0247,0.091
35044.4635,0.939
35024.0988,0.55
35010.2389,0.841
35005.1898,0.636
34996.652,0.127
34979.2949,0.9
34967.6346,0.171
34958.9584,0.11
34957.2597,0.5
34947.0043,0.8
34929.6726,0.624
34909.0988,0.798
34885.397,0.501
34878.4477,0.76
34849.9463,0.555
34833.7652,0.728
34808.6114,0.479
34804.5331,0.724
34768.7736,0.267
34765.9337,0.461
34755.9165,0.273
34753.2301,0.65
34744.97,0.119
34741.9399,0.137
34727.0686,0.38
34725.1957,0.596
34705.0494,0.172
34701.814,0.308
34697.9778,0.109
34692.0973,0.216
34683.986,0.295
34677.5612,0.517
34674.9096,0.12
34667.4368,0.606
34664.2635,0.338
34653.4921,0.166
34650.4629,0.108
34640.6463,0.984
34615.8663,0.402
34603.3105,0.224
34585.0748,0.529
34576.199,0.518
34559.2279,0.236
34557.0264,0.139
34553.5734,0.205
34551.885,0.156
34550.1345,0.896
34540.269,0.334
34526.46,0.108
34520.1972,0.344
34513.1537,0.37
34498.1111,0.184
34493.7579,0.406
34487.9528,0.401
34479.543,0.367
34469.6898,0.307
34461.1463,0.396
34454.2922,0.759
34435.2015,0.293
34421.7041,0.305
34418.5345,0.173
34386.4577,0.359
34377.4548,0.362
34371.7325,0.231
34368.2861,0.383
34352.9563,0.377
34328.0453,0.217
34312.3445,0.2
34309.6279,0.122
34304.0412,0.241
34280.4843,0.308
34272.4164,0.158
34269.2817,0.183
34250.5591,0.11
34249.0186,0.307
34245.5864,0.242
34232.0466,0.199
34211.0576,0.117
34183.1456,0.174
34169.9872,0.275
34155.5802,0.274
34139.418,0.261
34132.288,0.145
34110.5814,0.165
34074.7296,0.135
34054.9496,0.235
34035.9173,0.11
34032.5142,0.156
34025.0075,0.216
34023.7589,0.039
34019.305,0.109
34015.2861,0.211
34013.0601,0.11
34007.3726,0.166
34003.3725,0.103
33998.9695,0.168
33995.4854,0.128
33992.9486,0.193
33990.9693,0.09
33987.8337,0.132
33985.4626,0.12
33983.5831,0.128
33980.4795,0.096
33978.5548,0.179
33976.0595,0.147
33971.6658,0.143
33968.8484,0.193
33966.0085,0.253
33961.4736,0.194
33958.9971,0.287
33954.5168,0.127
33952.7898,0.284
33946.752,0.363
33940.8744,0.342
33938.7858,0.061
33935.5296,0.414
33934.5033,0.035
33932.4844,0.089
33930.8629,0.093
33928.3487,0.331
33925.7385,0.289
33922.6989,0.31
33919.8778,0.119
33916.4088,0.47
33914.3429,0.122
33912.3654,0.308
33910.4727,0.24
33907.4633,0.297
33905.6648,0.16
33902.0583,0.13
33899.6778,0.049
